product_name,product_category,review,rating,net_profit,units_sold,purchase_date,region
Wireless Earbuds,Audio,"Excellent quality, highly recommend.",2,98,66,2025/06/28,East
Electric Kettle,Kitchen,Simple and effective.,3,101,97,2025/06/29,East
Air Purifier,Home Goods,Simple and effective.,1,97,34,2025/06/30,North
4K Action Camera,Electronics,Exceeded my expectations!,1,88,38,2025/07/01,West
Wireless Earbuds,Audio,Stopped working after a few months.,3,84,52,2025/07/02,South
Standing Desk,Furniture,Exceeded my expectations!,3,74,159,2025/07/03,South
4K Action Camera,Electronics,"Excellent quality, highly recommend.",3,72,174,2025/07/04,South
Electric Kettle,Kitchen,Exceeded my expectations!,1,71,126,2025/07/05,South
Robot Vacuum,Home Goods,Not worth the money.,2,60,85,2025/07/06,South
4K Action Camera,Electronics,Very sturdy and reliable.,5,49,154,2025/07/07,West
Wireless Earbuds,Audio,Simple and effective.,4,38,79,2025/07/08,West
Smartwatch,Wearables,Sound quality is amazing.,2,42,104,2025/07/09,East
Standing Desk,Furniture,Very sturdy and reliable.,4,30,66,2025/07/10,South
Blender,Kitchen,Loving it so far!,5,18,91,2025/07/11,West
Laptop,Electronics,Simple and effective.,4,18,182,2025/07/12,South
Robot Vacuum,Home Goods,Battery life could be longer.,4,18,197,2025/07/13,West
Smartwatch,Wearables,"Excellent quality, highly recommend.",3,16,193,2025/07/14,North
4K Action Camera,Electronics,Exceeded my expectations!,2,24,190,2025/07/15,South
Laptop,Electronics,Not worth the money.,4,35,59,2025/07/16,West
Wireless Earbuds,Audio,Very sturdy and reliable.,3,45,160,2025/07/17,East
Laptop,Electronics,Loving it so far!,2,44,152,2025/07/18,East
Robot Vacuum,Home Goods,Simple and effective.,2,35,20,2025/07/19,South
Robot Vacuum,Home Goods,Sound quality is amazing.,1,38,32,2025/07/20,West
Electric Kettle,Kitchen,Sound quality is amazing.,2,29,168,2025/07/21,South
Gaming Chair,Furniture,Loving it so far!,2,22,96,2025/07/22,West
Blender,Kitchen,Exceeded my expectations!,5,34,187,2025/07/23,North
4K Action Camera,Electronics,Stopped working after a few months.,1,40,114,2025/07/24,West
Smartwatch,Wearables,Stopped working after a few months.,5,46,138,2025/07/25,East
Blender,Kitchen,"Decent for the price, could be better.",5,60,139,2025/07/26,West
Electric Kettle,Kitchen,Battery life could be longer.,2,59,96,2025/07/27,South
Standing Desk,Furniture,Stopped working after a few months.,2,73,56,2025/07/28,West
Laptop,Electronics,Stopped working after a few months.,1,70,145,2025/07/29,North
4K Action Camera,Electronics,Simple and effective.,2,72,59,2025/07/30,North
Air Purifier,Home Goods,Exceeded my expectations!,1,81,127,2025/07/31,West
4K Action Camera,Electronics,Battery life could be longer.,5,91,164,2025/08/01,West
Gaming Chair,Furniture,Loving it so far!,5,86,138,2025/08/02,East
Laptop,Electronics,"Excellent quality, highly recommend.",3,83,24,2025/08/03,South
Wireless Earbuds,Audio,"Decent for the price, could be better.",4,93,141,2025/08/04,East
Smartwatch,Wearables,"Excellent quality, highly recommend.",2,99,78,2025/08/05,North
4K Action Camera,Electronics,Loving it so far!,4,91,102,2025/08/06,East
Gaming Chair,Furniture,Sound quality is amazing.,1,101,106,2025/08/07,West
Standing Desk,Furniture,"Decent for the price, could be better.",4,115,122,2025/08/08,East
Blender,Kitchen,Simple and effective.,5,113,30,2025/08/09,East
Standing Desk,Furniture,Battery life could be longer.,2,106,191,2025/08/10,North
Blender,Kitchen,Simple and effective.,3,114,117,2025/08/11,South
Smartwatch,Wearables,Battery life could be longer.,3,127,153,2025/08/12,East
Wireless Earbuds,Audio,Not worth the money.,2,123,161,2025/08/13,South
Robot Vacuum,Home Goods,"Excellent quality, highly recommend.",4,130,198,2025/08/14,South
Air Purifier,Home Goods,Not worth the money.,4,141,106,2025/08/15,South
Wireless Earbuds,Audio,Not worth the money.,4,151,156,2025/08/16,South
Electric Kettle,Kitchen,Stopped working after a few months.,1,158,151,2025/08/17,East
Laptop,Electronics,Battery life could be longer.,3,162,28,2025/08/18,South
4K Action Camera,Electronics,Sound quality is amazing.,3,171,93,2025/08/19,East
Wireless Earbuds,Audio,Stopped working after a few months.,1,170,78,2025/08/20,East
Robot Vacuum,Home Goods,Battery life could be longer.,2,170,181,2025/08/21,East
Smartwatch,Wearables,Stopped working after a few months.,2,173,89,2025/08/22,East
Smartwatch,Wearables,"Decent for the price, could be better.",3,177,85,2025/08/23,West
Standing Desk,Furniture,"Excellent quality, highly recommend.",2,172,107,2025/08/24,East
Smartwatch,Wearables,Not worth the money.,5,176,28,2025/08/25,North
Laptop,Electronics,"Decent for the price, could be better.",3,180,153,2025/08/26,South
Blender,Kitchen,Stopped working after a few months.,4,192,130,2025/08/27,West
Electric Kettle,Kitchen,Not worth the money.,4,188,124,2025/08/28,West
Robot Vacuum,Home Goods,Battery life could be longer.,3,187,75,2025/08/29,North
Gaming Chair,Furniture,Battery life could be longer.,5,185,34,2025/08/30,West
Robot Vacuum,Home Goods,Stopped working after a few months.,3,182,47,2025/08/31,North
Standing Desk,Furniture,Loving it so far!,2,196,164,2025/09/01,East
Laptop,Electronics,Battery life could be longer.,3,192,46,2025/09/02,East
Blender,Kitchen,Stopped working after a few months.,1,204,105,2025/09/03,West
Robot Vacuum,Home Goods,"Excellent quality, highly recommend.",5,194,197,2025/09/04,South
Blender,Kitchen,Stopped working after a few months.,5,187,67,2025/09/05,South
Blender,Kitchen,Very sturdy and reliable.,2,192,157,2025/09/06,North
Laptop,Electronics,Simple and effective.,1,199,94,2025/09/07,East
Air Purifier,Home Goods,"Excellent quality, highly recommend.",4,203,34,2025/09/08,North
Blender,Kitchen,"Decent for the price, could be better.",4,204,78,2025/09/09,South
Electric Kettle,Kitchen,Sound quality is amazing.,2,197,117,2025/09/10,North
Standing Desk,Furniture,Not worth the money.,4,189,195,2025/09/11,North
Blender,Kitchen,"Decent for the price, could be better.",1,191,62,2025/09/12,West
Smartwatch,Wearables,Simple and effective.,1,194,60,2025/09/13,West
Wireless Earbuds,Audio,Exceeded my expectations!,4,202,158,2025/09/14,South
Standing Desk,Furniture,Loving it so far!,2,204,167,2025/09/15,South
Gaming Chair,Furniture,Loving it so far!,4,206,160,2025/09/16,North
Gaming Chair,Furniture,Sound quality is amazing.,1,201,135,2025/09/17,North
Blender,Kitchen,Stopped working after a few months.,4,194,135,2025/09/18,North
Robot Vacuum,Home Goods,Not worth the money.,1,196,154,2025/09/19,West
Gaming Chair,Furniture,"Excellent quality, highly recommend.",3,185,142,2025/09/20,East
Blender,Kitchen,Very sturdy and reliable.,2,177,120,2025/09/21,North
Gaming Chair,Furniture,Simple and effective.,1,170,150,2025/09/22,North
Gaming Chair,Furniture,"Excellent quality, highly recommend.",5,166,180,2025/09/23,East
