product_name,product_category,review,sentiment
Action Camera,Electronics,Poorly designed and difficult to use.,Negative
Portable Charger,Accessories,Battery drains way too fast. Terrible product.,Negative
Office Chair,Furniture,"Not bad, but not great either.",Neutral
Action Camera,Electronics,A must-have for anyone. Love it!,Positive
Gaming Headset,Audio,Acceptable quality for everyday use.,Neutral
Laptop Sleeve,Accessories,The sound is distorted and unpleasant.,Negative
Bluetooth Speaker,Audio,A must-have for anyone. Love it!,Positive
Smartwatch,Wearables,Very disappointed. Does not work as advertised.,Negative
Electric Kettle,Kitchen,Absolutely love this product! Works perfectly.,Positive
Smartwatch,Wearables,Satisfactory performance overall.,Neutral
Action Camera,Electronics,"Nothing special, just a regular product.",Neutral
Smartwatch,Wearables,Completely broke after a week. Waste of money.,Negative
Portable Charger,Accessories,Perfect for my needs. Exceeded expectations.,Positive
Electric Kettle,Kitchen,Battery drains way too fast. Terrible product.,Negative
Gaming Headset,Audio,"Gets stuck constantly, very frustrating.",Negative
Smartwatch,Wearables,Charges quickly and holds a lot of power.,Positive
Office Chair,Furniture,Battery drains way too fast. Terrible product.,Negative
Laptop Sleeve,Accessories,A must-have for anyone. Love it!,Positive
Gaming Headset,Audio,Sturdy and stylish. Worth every penny.,Positive
Electric Kettle,Kitchen,Super comfortable and very reliable.,Positive
Action Camera,Electronics,"Stopped working suddenly, very unreliable.",Negative
Wireless Mouse,Accessories,Perfect for my needs. Exceeded expectations.,Positive
Action Camera,Electronics,Sound quality is crystal clear. Fantastic purchase.,Positive
Electric Kettle,Kitchen,The sound is distorted and unpleasant.,Negative
Wireless Mouse,Accessories,"Not bad, but not great either.",Neutral
Action Camera,Electronics,Sound quality is crystal clear. Fantastic purchase.,Positive
